"Ordre","Longueur_max","Profondeur_corps","Rapport_aspect","Etroitesse_pedoncule","Position_nageoire_pectorale","Taille_nageoire_pectorale","Forme_corps","Position_oeil_vertical","Taille_oeil","Vertical_station","Comportement_banc"
"Cypriniformes",9.8,16.2,1.61035,2.721643,0.3134864,0.1859838,"elongated",0.597173697,26.8,"benthopelagic","schooling"
"Cypriniformes",6.5,15.8,1.50387,3.067147,0.2820501,0.1737991,"elongated",0.538550157,32.7,"benthopelagic","schooling"
"Cypriniformes",8,18.1,0.967613,2.205719,0.3309859,0.1442777,"elongated",0.592741784,26.4,"benthopelagic","schooling"
"Cypriniformes",7.1,16.8,1.27467,2.842961,0.1915638,0.199706,"elongated",0.462795213,40.9,"benthopelagic","schooling"
"Cypriniformes",9.8,14.4,1.60734,2.85372,0.3179935,0.1694709,"elongated",0.531356294,28.7,"benthopelagic","schooling"
"Cypriniformes",15,14.6,1.9773,3.015402,0.2781888,0.1783625,"elongated",0.577618018,29,"benthopelagic","schooling"
"Cypriniformes",14,14.6,1.43777,3.204918,0.2412222,0.1535006,"elongated",0.585904968,28.9,"benthopelagic","schooling"
"Cypriniformes",7.2,15.8,2.188375,3.41164,0.3181764,0.1581644,"elongated",0.551155378,28.7,"benthopelagic","schooling"
"Cypriniformes",11,15.23,2.135873,2.834847,0.2564365,0.1789251,"elongated",0.54699033,24.09,"benthopelagic","schooling"
"Cypriniformes",8.2,17.2,1.19528,2.623525,0.2637459,0.162641,"fusiform",0.530547179,28.4,"benthopelagic","schooling"
"Cypriniformes",8.6,18.1,1.70363,2.520552,0.2827846,0.1864564,"fusiform",0.504110622,35.2,"benthopelagic","schooling"
"Cypriniformes",7.6,18.5,2.15187,2.963439,0.3100584,0.1680986,"elongated",0.56716108,30.9,"benthopelagic","schooling"
"Salmoniformes",99,19.75,2.133,2.274087,0.2953722,0.1301689,"fusiform",0.657989198,17.05,"demersal","non-schooling"
"Salmoniformes",76,22.8,2.487,3.834029,0.2279174,0.142362,"fusiform",0.490702692,12.3,"demersal","schooling"
"Salmoniformes",100,26.3,2.649,3.118909,0.2402426,0.1533747,"fusiform",0.575092434,9.6,"benthopelagic","schooling"
"Salmoniformes",122,22.4,1.673,2.650049,0.2435354,0.1559702,"fusiform",0.603331072,18,"benthopelagic","non-schooling"
"Perciformes",50,23.4,1.23413,1.860759494,0.353276353,0.163565891,"fusiform",0.492877493,19.5,"benthopelagic","schooling"
"Perciformes",67.64,25.85,1.39721,2.201612903,0.318936877,0.148292683,"fusiform",0.465116279,20.7,"demersal","schooling"
"Perciformes",18,14.1,1.053,2.804878049,0.467105263,0.139556377,"elongated",0.598684211,23.9,"benthopelagic","non-schooling"
"Perciformes",7.2,13.19,0.8464,1.586206897,0.456140351,0.164864865,"elongated",0.438596491,26.9,"benthopelagic","schooling"
"Cypriniformes",11,17.6,1.11248,2.75005,0.2167857,0.1267742,"fusiform",0.529953917,24.2,"demersal","schooling"
"Cypriniformes",10.1,18.3,1.51105,2.395225,0.1945942,0.1633254,"fusiform",0.499082302,29.2,"demersal","schooling"
"Cypriniformes",9.2,18.5,1.44955,2.600928,0.2827047,0.1837212,"fusiform",0.607769556,29.6,"demersal","schooling"
"Perciformes",53,36.4,1.61964,2.588014,0.2948354,0.2183369,"short/deep",0.459940079,19,"demersal","schooling"
"Perciformes",49,36.3,1.56692,2.499158,0.3352829,0.2073281,"short/deep",0.518641217,18.5,"benthopelagic","schooling"
"Salmoniformes",28,15.1,1.53064,3.124844,0.3509297,0.1282472,"elongated",0.656192237,28.7,"benthopelagic","schooling"
"Salmoniformes",59,17.1,2.58,3.413092,0.2914218,0.1170831,"fusiform",0.474733497,21.3,"benthopelagic","schooling"
"Cypriniformes",12.5,22.1,1.74928,2.4125,0.245033113,0.141196013,"fusiform",0.430463576,28.5,"benthopelagic","schooling"
"Cypriniformes",12.4,17.6,1.38043,2.019528,0.3654813,0.1718867,"fusiform",0.571343077,23.8,"demersal","non-schooling"
"Cypriniformes",22.5,17,1.28457,2.297396,0.3536829,0.2027984,"elongated",0.638211382,20.7,"demersal","schooling"
"Cypriniformes",50.2,25,1.47269,3.213865,0.2502727,0.1618402,"fusiform",0.455062235,23.85,"benthopelagic","schooling"
"Salmoniformes",150,19.73,2.051,3.076443,0.2446201,0.1242126,"fusiform",0.467510023,12.3,"benthopelagic","schooling"
"Salmoniformes",140,19.95,1.618,2.274148,0.2549835,0.141035,"fusiform",0.605609036,23.7,"pelagic","non-schooling"
"Salmoniformes",107,19.57,1.772,2.865442,0.3242597,0.1682862,"fusiform",0.640026718,17.8,"benthopelagic","non-schooling"
"Salmoniformes",86,26.4,1.538,2.280605,0.2772304,0.153272,"fusiform",0.6354576,21.2,"benthopelagic","non-schooling"
"Salmoniformes",150,19.1,2.111,3.656679,0.2429204,0.1631333,"fusiform",0.642957227,11.8,"benthopelagic","non-schooling"
"Perciformes",127.23,18.5,1.38853,3.388259,0.3475585,0.1460195,"elongated",0.388211694,13.6,"pelagic","non-schooling"
"Perciformes",123.41,15.5,1.29389,2.900798,0.4178307,0.1405814,"elongated",0.514283368,19.7,"benthopelagic","non-schooling"
"Cypriniformes",30.3,18.2,1.10619,2.205654,0.2663538,0.1606491,"fusiform",0.509366999,20.6,"demersal","schooling"
"Cypriniformes",51,19.9,1.85108,3.347581,0.2075585,0.1646135,"fusiform",0.698214922,21.6,"demersal","schooling"
"Salmoniformes",76,18.1,1.98211,2.729114,0.3012164,0.1499792,"fusiform",0.531716728,26.4,"benthopelagic","non-schooling"
