"MaxLength","BodyDepth","AspectRatio","CaudalPeduncle","PectoralFinVertical","PectoralFinSize","VerticalEyePos","EyeSize","BodyShape"
140,19.95,1.618,2.274148,0.2549835,0.141035,0.605609036,23.7,"fusiform"
107,19.57,1.772,2.865442,0.3242597,0.1682862,0.640026718,17.8,"fusiform"
86,26.4,1.538,2.280605,0.2772304,0.153272,0.6354576,21.2,"fusiform"
150,19.1,2.111,3.656679,0.2429204,0.1631333,0.642957227,11.8,"fusiform"
76,21.7,1.26302,2.781518,0.2523166,0.1458291,0.491267055,14.8,"elongated"
127.23,18.5,1.38853,3.388259,0.3475585,0.1460195,0.388211694,13.6,"elongated"
123.41,15.5,1.29389,2.900798,0.4178307,0.1405814,0.514283368,19.7,"elongated"
61.7,29.6,1.76594,3.09878,0.2927147,0.1794026,0.517721457,29.2,"fusiform"
30.3,18.2,1.10619,2.205654,0.2663538,0.1606491,0.509366999,20.6,"fusiform"
51,19.9,1.85108,3.347581,0.2075585,0.1646135,0.698214922,21.6,"fusiform"
273,19.8,0.632578,2.200068,0.4235434,0.1060038,0.57179471,8,"elongated"
76,18.1,1.98211,2.729114,0.3012164,0.1499792,0.531716728,26.4,"fusiform"
82.18,29.8,1.44886,1.720607,0.247652,0.1934677,0.519115068,14.05,"fusiform"
14,17.4,1.16499,1.796132,0.2402701,0.1633104,0.505221803,21.9,"fusiform"
