Order,Family,Genus,Scientific Name,Common Name,Maximum Total Length (cm),Body Depth (% TL),Body Shape,Aspect Ratio,Caudal Peduncle Throttling,Pectoral Fin Vertical Position,Pectoral Fin Size,Vertical Eye Position,Eye Size (%HL),Reference: MTL,Reference: BD,Reference: BS,Reference: AR,Reference: CPT,Reference: PFVP,Reference: PFS,Reference: VEP,Reference: ES
Perciformes,Centrarchidae,Lepomis,Lepomis peltastes,Northern Sunfish,14.8,40,short/deep,1.843899,2.194175,0.3611111,0.2280928,0.588889,26.5,FishBase,DB using photo from FishBase (n=1),DB,DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1)
Perciformes,Centrarchidae,Lepomis,Lepomith gulosus,Warmouth,31,34.7,short/deep,0.63,2.828672,0.3209848,0.234363,0.656447212,19.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Leuciscus,Leuciscus idus,Ide,104.89,28.05,fusiform,1.74419,2.150565,0.240231,0.1856005,0.520366586,19.25,FishBase (Converted SL to TL using equation on FishBase),FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Cypriniformes,Cyprinidae,Leuciscus,Leuciscus leuciscus,Eurasian Dace,40,22.8,fusiform,2.01156,2.80899,0.2260996,0.1631731,0.476097198,20.4,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Gadiformes,Lotidae,Lota,Lota lota,Burbot,152,12.6,elongated,0.725928,1.254545455,0.569078947,0.132502308,0.457236842,12.4,FishBase,FishBase (n=1),DB,FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),DB using photo from FishBase (n=1),FishBase (n=1)
Cypriniformes,Cyprinidae,Luxilus,Luxilus chrysocephalus,Striped Shiner,24,25.8,fusiform,2.56768,3.088623,0.1452485,0.1594244,0.483371139,NA,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,NA
Cypriniformes,Cyprinidae,Luxilus,Luxilus cornutus,Common Shiner,18,22.95,fusiform,2.09178,2.963767,0.203753,0.1967081,0.53351614,27.6,FishBase,FishBase (n=2),DB,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Cypriniformes,Leuciscidae,Lythrurus,Lythrurus umbratilis,Redfin Shiner,8.8,19.8,fusiform,1.36488,3.231639,0.2390146,0.1717006,0.575468239,26.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana,Silver Chub,23,18.3,fusiform,1.16955,2.85397,0.2540636,0.1619465,0.572636548,29.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Cypriniformes,Leuciscidae,Margariscus,Margariscus margarita,Allegheny Pearl Dace,16,14.6,elongated,1.48002,2.571321,0.2738448,0.1978963,0.529082173,26.4,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Gadiformes,Gadidae,Microgadus,Microgadus tomcod,Atlantic Tomcod,38.1,20.2,fusiform,0.952177,2.478576,0.4686926,0.1579861,0.528062997,15.9,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Centrarchidae,Micropterus,Micropterus dolomieu,Smallmouth Bass,69,26.7,fusiform,1.43,2.828318,0.389738,0.1716591,0.652592702,15.1,FishBase,FishBase (n=1),FishBase,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Centrarchidae,Micropterus,Micropterus salmoides,Largemouth Bass,97,28.55,fusiform,1.216,2.367404,0.3266925,0.1729975,0.598507859,15.1,FishBase,FishBase (n=2),FishBase,FishBase (n=2),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=2)
Cypriniformes,Catostomidae,Minytrema,Minytrema melanops,Spotted Sucker,50,21.6,elongated,2.069,3.780001,0.155477,0.2040576,0.501766784,21.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Moronidae,Morone,Morone americana,White Perch,58,27.7,fusiform,1.78178,2.666797,0.3604383,0.2113372,0.472522853,19.7,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Moronidae,Morone,Morone chrysops,White Bass,45,30.5,fusiform,1.73567,2.12724,0.3324408,0.1678005,0.504293644,26.4,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
Perciformes,Moronidae,Morone,Morone mississippiensis,Yellow Bass,46,32.4,fusiform,1.56278,2.892144,0.3816039,0.2062279,0.501751373,15.2,FishBase,FishBase (n=1),DB,FishBase (n=1),FishMorph,FishMorph,FishMorph,FishMorph,FishBase (n=1)
